Card Id	Card Name	Set Name	other 	x	x	x	x	x	x	x	x	x
1	Mysteries of the Deep	Worldwake	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
2	Harmless Assault	Rise of the Eldrazi	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
3	Lay Bare	Rise of the Eldrazi	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
4	Living Destiny	Rise of the Eldrazi	not_legal	not_legal	not_legal	legal	legal	legal	legal	not_legal	legal	legal
5	Instill Infection	Scars of Mirrodin	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
6	Blunt the Assault	Scars of Mirrodin	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
7	Banishment Decree	Mirrodin Besieged	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
8	Frantic Salvage	Mirrodin Besieged	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
9	Fuel for the Cause	Mirrodin Besieged	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
10	Quicksilver Geyser	Mirrodin Besieged	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
11	War Report	New Phyrexia	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
12	Artillerize	New Phyrexia	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
13	Smite the Monstrous	Innistrad	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal	legal
14	Lost in the Mist	Innistrad	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
15	Griptide	Dark Ascension	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
16	Angel's Mercy	Avacyn Restored	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
17	Geist Snatch	Avacyn Restored	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
18	Thunderous Wrath	Avacyn Restored	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
19	Eyes in the Skies	Return to Ravnica	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
20	Trostani's Judgment	Return to Ravnica	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
21	Inspiration	Return to Ravnica	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal	legal
22	Launch Party	Return to Ravnica	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
23	Explosive Impact	Return to Ravnica	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
24	Chorus of Might	Return to Ravnica	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
25	Essence Backlash	Return to Ravnica	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
26	Scatter Arc	Gatecrash	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
27	Grisly Spectacle	Gatecrash	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
28	Mindstatic	Dragon's Maze	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
29	Fatal Fumes	Dragon's Maze	not_legal	not_legal	not_legal	legal	legal	legal	legal	not_legal	legal	legal
30	Punish the Enemy	Dragon's Maze	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
31	Lash of the Whip	Theros	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
32	Boulderfall	Theros	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
33	Sudden Storm	Born of the Gods	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
34	Countermand	Journey into Nyx	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
35	Riddle of Lightning	Journey into Nyx	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
36	Starfall	Journey into Nyx	not_legal	not_legal	not_legal	legal	legal	legal	legal	not_legal	legal	legal
37	Spoils of the Vault	Mirrodin	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
38	Retract	Darksteel	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
39	Oxidize	Darksteel	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
40	Magnetic Theft	Fifth Dawn	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
41	Reciprocate	Champions of Kamigawa	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
42	Hail of Arrows	Saviors of Kamigawa	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
43	One with Nothing	Saviors of Kamigawa	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
44	Festival of the Guildpact	Ravnica: City of Guilds	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
45	Darkblast	Ravnica: City of Guilds	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
46	Quicken	Guildpact	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
47	Condemn	Dissension	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
48	Spell Snare	Dissension	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
49	Weight of Spires	Dissension	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
50	Luminesce	Coldsnap	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
51	Balduvian Rage	Coldsnap	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
52	Angel's Grace	Time Spiral	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
53	Pull from Eternity	Time Spiral	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
54	Moonlace	Time Spiral	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
55	Spell Burst	Time Spiral	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
56	Might of Old Krosa	Time Spiral	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
57	Rebuff the Wicked	Planar Chaos	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
58	Pongify	Planar Chaos	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
59	Venarian Glimmer	Planar Chaos	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
60	Extirpate	Planar Chaos	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
61	Timecrafting	Planar Chaos	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
62	Scout's Warning	Future Sight	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
63	Dream Salvage	Shadowmoor	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
64	Guttural Response	Shadowmoor	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
65	Path to Exile	Conflux	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
66	Brave the Elements	Zendikar	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
67	Unstable Footing	Zendikar	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
68	Primal Bellow	Zendikar	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
69	Suffer the Past	Rise of the Eldrazi	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
70	Twisted Image	Scars of Mirrodin	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
71	Dispatch	New Phyrexia	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
72	Marrow Shards	New Phyrexia	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
73	Surgical Extraction	New Phyrexia	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
74	Noxious Revival	New Phyrexia	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
75	Purify the Grave	Innistrad	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
76	Faith's Shield	Dark Ascension	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
77	Divine Deflection	Avacyn Restored	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
78	Human Frailty	Avacyn Restored	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
79	Blustersquall	Return to Ravnica	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
80	Street Spasm	Return to Ravnica	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
81	Gridlock	Gatecrash	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
82	Rapid Hybridization	Gatecrash	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
83	Killing Glare	Gatecrash	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
84	Swan Song	Theros	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	not_legal	legal	legal
85	Triton Tactics	Theros	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
86	Dark Betrayal	Theros	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
87	Coordinated Assault	Theros	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
88	Warriors' Lesson	Theros	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
89	Glimpse the Sun God	Born of the Gods	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
90	Kiora's Dismissal	Journey into Nyx	not_legal	not_legal	not_legal	legal	legal	not_legal	legal	legal	legal	legal
91	Awe Strike	Mirrodin	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
92	Annul	Mirrodin	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
93	Disarm	Mirrodin	not_legal	not_legal	not_legal	legal	legal	legal	legal	legal	legal	legal
